m,pi0,effect_size,alpha,fdr,tpr,r
100,0.8,2.5,0.05,0.25,0.45,12
100,0.8,2.5,0.05,0.18181818181818182,0.45,11
100,0.8,2.5,0.05,0.0,0.15,3
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.0,0.55,11
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.2,0.2,5
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.1111111111111111,0.4,9
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.25,0.15,4
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.1,2
100,0.8,2.5,0.05,0.2,0.6,15
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.65,13
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.07692307692307693,0.6,13
100,0.8,2.5,0.05,0.0,0.15,3
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.0,0.1,2
100,0.8,2.5,0.05,0.0,0.15,3
100,0.8,2.5,0.05,0.2222222222222222,0.35,9
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.0,0.0,0
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.25,0.15,4
100,0.8,2.5,0.05,0.16666666666666666,0.25,6
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.25,0.3,8
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.08333333333333333,0.55,12
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.375,0.25,8
100,0.8,2.5,0.05,0.07692307692307693,0.6,13
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.07142857142857142,0.65,14
100,0.8,2.5,0.05,0.125,0.35,8
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.55,11
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.1,2
100,0.8,2.5,0.05,0.0,0.55,11
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.0,0.05,1
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.2222222222222222,0.35,9
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.08333333333333333,0.55,12
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.2,0.2,5
100,0.8,2.5,0.05,0.0,0.55,11
100,0.8,2.5,0.05,0.0,0.1,2
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.14285714285714285,0.6,14
100,0.8,2.5,0.05,0.0,0.55,11
100,0.8,2.5,0.05,0.18181818181818182,0.45,11
100,0.8,2.5,0.05,0.1111111111111111,0.4,9
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.0,0.1,2
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.2,0.4,10
100,0.8,2.5,0.05,0.25,0.15,4
100,0.8,2.5,0.05,0.0,0.2,4
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.16666666666666666,0.5,12
100,0.8,2.5,0.05,0.09090909090909091,0.5,11
100,0.8,2.5,0.05,0.0,0.3,6
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.0,0.05,1
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.125,0.35,8
100,0.8,2.5,0.05,0.18181818181818182,0.45,11
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.0,0.25,5
100,0.8,2.5,0.05,0.0,0.0,0
100,0.8,2.5,0.05,0.14285714285714285,0.6,14
100,0.8,2.5,0.05,0.0,0.05,1
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.45,9
100,0.8,2.5,0.05,0.1,0.45,10
100,0.8,2.5,0.05,0.0,0.35,7
100,0.8,2.5,0.05,0.0,0.5,10
100,0.8,2.5,0.05,0.0,0.05,1
100,0.8,2.5,0.05,0.14285714285714285,0.3,7
100,0.8,2.5,0.05,0.0,0.4,8
100,0.8,2.5,0.05,0.2,0.4,10
